item_id,prompt_id,mean_word,word_var,mean_sent,sent_var,ess_char_len,word_count,prep_comma,unique_word,clause_per_s,mean_clause_l,max_clause_in_s,spelling_err,sent_ave_depth,ave_leaf_depth,automated_readability,linsear_write,stop_prop,positive_sentence_prop,negative_sentence_prop,neutral_sentence_prop,overall_positivity_score,overall_negativity_score,",",.,VB,JJR,WP,PRP$,VBN,VBG,IN,CC,JJS,PRP,MD,WRB,RB,VBD,RBR,VBZ,NNP,POS,WDT,DT,CD,NN,TO,JJ,VBP,RP,NNS,score
1,1,4.400593471810089,5.84249222939359,21.0625,171.30859375,1483,337,71,117,0.4375,8.0,2,26,5.6875,3.075566750629723,11.3,11.2,0.4836795252225519,0.75,0.0,0.25,0.6029125,0,0.04639175257731959,0.041237113402061855,0.059278350515463915,0.002577319587628866,0.002577319587628866,0.030927835051546393,0.010309278350515464,0.03608247422680412,0.13659793814432988,0.03608247422680412,0.0,0.07474226804123711,0.01288659793814433,0.010309278350515464,0.059278350515463915,0.002577319587628866,0.0,0.03608247422680412,0.028350515463917526,0.002577319587628866,0.0,0.05154639175257732,0.0,0.14432989690721648,0.02577319587628866,0.04896907216494845,0.030927835051546393,0.007731958762886598,0.04381443298969072,8.0
2,1,4.353221957040573,5.469506325436737,20.95,142.2475,1824,419,70,125,0.25,7.8,1,33,6.2,3.4148471615720526,10.1,12.2,0.5393794749403341,0.7,0.0,0.3,0.54889,0,0.02575107296137339,0.04291845493562232,0.06223175965665236,0.002145922746781116,0.0,0.017167381974248927,0.01072961373390558,0.04291845493562232,0.12446351931330472,0.03862660944206009,0.002145922746781116,0.07296137339055794,0.034334763948497854,0.019313304721030045,0.03648068669527897,0.017167381974248927,0.0,0.012875536480686695,0.032188841201716736,0.0,0.002145922746781116,0.07510729613733906,0.008583690987124463,0.1223175965665236,0.017167381974248927,0.04291845493562232,0.03648068669527897,0.004291845493562232,0.08798283261802575,9.0
3,1,4.405017921146953,5.545637902904641,19.928571428571427,184.6377551020408,1229,279,41,113,0.14285714285714285,16.5,1,11,5.571428571428571,2.99025974025974,9.8,7.857142857142858,0.4982078853046595,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.6960428571428572,0,0.02857142857142857,0.044444444444444446,0.04126984126984127,0.009523809523809525,0.015873015873015872,0.006349206349206349,0.0,0.02857142857142857,0.10158730158730159,0.050793650793650794,0.0031746031746031746,0.044444444444444446,0.012698412698412698,0.009523809523809525,0.0380952380952381,0.0031746031746031746,0.0031746031746031746,0.01904761904761905,0.0380952380952381,0.0,0.0,0.08571428571428572,0.006349206349206349,0.12380952380952381,0.025396825396825397,0.047619047619047616,0.0761904761904762,0.009523809523809525,0.1111111111111111,7.0
4,1,4.8683206106870225,6.4158666453004,19.40740740740741,135.72290809327848,2551,524,77,179,0.2222222222222222,9.333333333333334,2,81,4.7407407407407405,2.5077452667814115,15.2,15.5,0.5725190839694656,0.6296296296296297,0.0,0.37037037037037035,0.6755296296296296,0,0.021103896103896104,0.04383116883116883,0.048701298701298704,0.006493506493506494,0.00487012987012987,0.012987012987012988,0.012987012987012988,0.008116883116883116,0.1038961038961039,0.027597402597402596,0.00974025974025974,0.024350649350649352,0.022727272727272728,0.006493506493506494,0.04383116883116883,0.02922077922077922,0.0016233766233766235,0.01948051948051948,0.11525974025974026,0.003246753246753247,0.003246753246753247,0.0698051948051948,0.0,0.1266233766233766,0.024350649350649352,0.06655844155844155,0.040584415584415584,0.0016233766233766235,0.08603896103896104,10.0
5,1,4.408602150537634,5.450248583651297,15.5,43.516666666666666,2050,465,56,128,0.43333333333333335,5.230769230769231,2,25,4.733333333333333,2.4038461538461537,7.7,10.666666666666666,0.4838709677419355,0.5333333333333333,0.13333333333333333,0.3333333333333333,0.80498,0,0.025048169556840076,0.057803468208092484,0.08092485549132948,0.015414258188824663,0.0019267822736030828,0.007707129094412331,0.0038535645472061657,0.011560693641618497,0.08285163776493257,0.028901734104046242,0.0019267822736030828,0.046242774566473986,0.05009633911368015,0.009633911368015413,0.06936416184971098,0.0038535645472061657,0.0038535645472061657,0.030828516377649325,0.011560693641618497,0.0,0.005780346820809248,0.10404624277456648,0.009633911368015413,0.13102119460500963,0.04046242774566474,0.04238921001926782,0.036608863198458574,0.0019267822736030828,0.0789980732177264,8.0
6,1,4.069105691056911,4.405793509154598,16.4,71.30666666666666,1001,246,31,92,0.26666666666666666,5.5,2,22,4.4,2.433333333333333,7.9,9.0,0.44715447154471544,0.2,0.13333333333333333,0.6666666666666666,0.9450933333333333,0,0.01090909090909091,0.05454545454545454,0.04363636363636364,0.0,0.007272727272727273,0.02181818181818182,0.01818181818181818,0.014545454545454545,0.10181818181818182,0.03272727272727273,0.0036363636363636364,0.07636363636363637,0.01818181818181818,0.02181818181818182,0.06181818181818182,0.02181818181818182,0.0,0.01818181818181818,0.05454545454545454,0.0,0.0036363636363636364,0.08363636363636363,0.0,0.13818181818181818,0.03636363636363636,0.04727272727272727,0.05454545454545454,0.0036363636363636364,0.02909090909090909,8.0
7,1,4.4649298597194385,4.62552359227474,16.633333333333333,33.89888888888889,2228,499,100,154,0.2,9.833333333333334,1,26,5.066666666666666,2.5729166666666665,9.0,12.8,0.5190380761523046,0.43333333333333335,0.26666666666666666,0.3,0.93645,0,0.06013745704467354,0.05154639175257732,0.05326460481099656,0.003436426116838488,0.00859106529209622,0.03951890034364261,0.005154639175257732,0.020618556701030927,0.11168384879725086,0.027491408934707903,0.0,0.05326460481099656,0.030927835051546393,0.005154639175257732,0.06872852233676977,0.012027491408934709,0.001718213058419244,0.029209621993127148,0.020618556701030927,0.005154639175257732,0.003436426116838488,0.07388316151202749,0.005154639175257732,0.16323024054982818,0.022336769759450172,0.044673539518900345,0.022336769759450172,0.0,0.04982817869415808,10.0
8,1,4.470954356846473,5.697289130696787,12.35897435897436,32.79421433267587,2155,482,67,138,0.15384615384615385,6.5,1,35,4.17948717948718,2.2807625649913343,7.3,6.5,0.5228215767634855,0.5641025641025641,0.10256410256410256,0.3333333333333333,0.7964820512820513,0,0.01971326164874552,0.06989247311827956,0.05913978494623656,0.007168458781362007,0.0017921146953405018,0.012544802867383513,0.012544802867383513,0.017921146953405017,0.1003584229390681,0.034050179211469536,0.0,0.07526881720430108,0.014336917562724014,0.008960573476702509,0.053763440860215055,0.012544802867383513,0.005376344086021506,0.026881720430107527,0.026881720430107527,0.0,0.0,0.06989247311827956,0.0035842293906810036,0.11290322580645161,0.043010752688172046,0.06810035842293907,0.06810035842293907,0.0017921146953405018,0.06093189964157706,10.0
9,1,4.276018099547511,5.303904506459712,12.628571428571428,37.262040816326525,1890,442,56,147,0.4,6.857142857142857,2,20,4.628571428571429,2.452054794520548,6.0,7.428571428571429,0.5,0.5142857142857142,0.11428571428571428,0.37142857142857144,0.7311171428571428,0,0.030947775628626693,0.06769825918762089,0.0735009671179884,0.005802707930367505,0.01160541586073501,0.015473887814313346,0.005802707930367505,0.013539651837524178,0.07736943907156674,0.0425531914893617,0.0,0.04642166344294004,0.025145067698259187,0.0019342359767891683,0.06382978723404255,0.0019342359767891683,0.0019342359767891683,0.0367504835589942,0.015473887814313346,0.0019342359767891683,0.005802707930367505,0.1102514506769826,0.0019342359767891683,0.15667311411992263,0.027079303675048357,0.05222437137330754,0.03288201160541586,0.0,0.04448742746615087,9.0
10,1,4.117529880478088,4.438377962254571,19.307692307692307,88.28994082840237,2067,502,65,137,0.4230769230769231,7.545454545454546,2,32,5.230769230769231,2.693121693121693,9.0,10.333333333333334,0.4681274900398406,0.2692307692307692,0.4230769230769231,0.3076923076923077,0,0.11997692307692308,0.02486678507992895,0.046181172291296625,0.06039076376554174,0.003552397868561279,0.0,0.008880994671403197,0.012433392539964476,0.012433392539964476,0.0905861456483126,0.046181172291296625,0.0,0.06039076376554174,0.010657193605683837,0.008880994671403197,0.06394316163410302,0.012433392539964476,0.0,0.04085257548845471,0.017761989342806393,0.0,0.010657193605683837,0.09591474245115453,0.0,0.12078152753108348,0.047957371225577264,0.0674955595026643,0.06039076376554174,0.010657193605683837,0.0586145648312611,9.0
